OP,A1,A2 
+,642,18163
+,14478,2737
+,3212,6149
+,16568,2579
+,15613,15379
+,8007,17816
+,17151,9629
+,2752,13957
+,8298,1512
+,15796,388
+,12849,11599
+,8390,16037
+,2004,19026
+,9866,11746
+,14355,3933
+,18097,10754
+,1686,247
+,5565,2585
+,8549,14088
+,8380,17403
+,3226,4135
+,15146,14918
+,9220,8924
+,10023,1982
+,6267,11905
+,7815,19927
+,6610,9258
+,19217,19466
+,12851,9678
+,7790,17960
+,19019,10859
+,13967,4360
+,11765,1866
+,16988,2505
+,18789,11784
+,19169,4049
+,8368,5427
+,10355,4090
+,14156,4366
+,18796,1550
+,8580,11636
+,9449,442
+,8432,2001
+,14778,9131
+,11611,19035
+,9058,9020
+,18161,11406
+,1930,11263
+,13893,9408
+,13168,9512
+,3370,15030
+,19300,18544
+,2863,14770
+,3915,5788
+,1972,5268
+,7023,16392
+,13002,4344
+,4487,19179
+,9694,8402
+,7841,15227
+,17605,4054
+,19647,15574
+,14084,10914
+,18228,4211
+,12150,5260
+,3068,15565
+,17084,9445
+,13515,16008
+,5905,17005
+,8547,14250
+,18670,482
+,2992,16038
+,18376,12198
+,17944,18562
+,1450,14686
+,4614,12189
+,18573,18981
+,19129,9218
+,4813,14367
+,10929,6980
+,4406,12720
+,12541,7459
+,18514,5792
+,19042,4038
+,14728,3115
+,19275,1680
+,2712,3136
+,7291,10921
+,4609,2697
+,11725,955
+,6213,5993
+,1622,16225
+,551,5230
+,15245,12763
+,11284,7528
+,5369,9250
+,1365,13644
+,10986,9426
+,16455,14012
+,18496,15314
+,12037,6792
+,12834,7079
+,9956,2366
-,529,0
+,10118,1089
+,2667,10343
+,17279,18776
-,657,0
+,11731,12202
+,4101,1784
+,6642,17652
+,16280,13307
+,16820,5719
+,5023,9527
+,19939,12309
+,2900,7006
+,13436,5388
+,2727,13412
+,6518,18905
+,13233,6962
+,19635,15166
+,4163,1944
+,13008,19902
+,16248,4397
-,790,0
+,10607,12221
+,7114,8260
+,10104,17935
+,10915,13726
+,3653,19861
+,8098,16587
+,14238,13339
+,14853,15538
-,504,0
+,18019,19890
+,2140,17391
+,1606,452
+,19495,3497
+,10287,17857
+,16060,11453
+,13669,15775
+,6585,3193
+,14971,17004
+,15993,5285
-,745,0
+,7332,16471
+,761,18548
+,12740,10818
-,995,0
+,3635,8948
+,15974,7665
+,16183,5268
+,12903,3835
+,5589,10651
+,17505,1559
+,12495,11088
+,2681,18810
+,6043,14113
+,5919,2763
+,7279,5805
+,19982,17859
-,94,0
+,5788,13960
+,12360,11524
+,9068,7755
+,7949,8760
+,17176,14613
+,2442,18152
+,10105,13849
+,18293,13550
+,13391,4113
+,10660,6323
+,2705,9173
+,10472,5868
+,747,9232
+,15409,12710
+,221,18026
+,16481,12384
+,11953,4126
+,19893,11070
+,15173,600
+,3625,2841
+,849,7210
+,729,5310
+,9749,133
+,13659,9179
+,8829,16393
-,30,0
+,2471,17688
+,15997,14556
+,15502,9811
+,19140,11955
+,1922,16268
+,12882,3809
+,3785,14625
+,1051,16041
+,9915,5255
+,4355,9696
+,10340,11699
+,393,18114
+,1541,4925
+,4770,15441
+,15054,1433
+,3949,19926
+,3193,1855
+,11540,11783
+,2334,16674
+,9804,12107
+,9625,7238
+,1550,16138
+,5484,13891
+,18372,13663
+,9149,5396
+,63,3403
+,3467,19787
+,3612,11516
+,2220,12805
-,482,0
+,2147,17359
+,8629,2760
+,5700,12946
-,269,0
+,11233,15381
+,15681,10666
+,19454,10793
+,2274,14530
+,1594,2796
+,9947,5914
+,17260,2306
+,14601,3418
+,8791,18746
+,9158,14405
+,16864,10065
+,8263,7665
+,7227,3746
+,16748,8322
+,6281,6383
+,14518,13432
+,6335,14233
+,13153,13830
+,8163,7797
-,677,0
+,17253,13043
+,15158,18518
+,3108,14033
+,8326,3465
+,5815,7044
+,11446,14753
+,12835,19871
+,7977,11427
+,9377,12568
+,16322,6567
+,13945,13005
+,1668,15856
+,1638,15607
+,5111,17521
+,4707,15932
+,12131,419
+,8384,12142
+,12339,6544
+,1858,9631
+,16366,6097
+,1754,4095
+,15527,8316
+,2186,504
+,10850,5680
+,19753,8860
+,6497,14063
+,4050,382
+,8650,19410
+,18897,16603
+,991,11679
+,1158,8176
+,14302,4650
+,8742,6452
+,6105,5608
+,1556,10327
+,17053,2050
+,19317,365
+,3444,7070
+,5228,7929
+,6326,16736
+,13428,5727
+,11452,5300
+,12609,18700
+,2373,8545
+,2407,6602
+,18634,8353
+,4408,12618
+,18412,3023
+,562,6744
+,2213,297
+,15876,13855
+,797,7030
+,7979,18294
+,9460,8877
+,6183,5571
+,6424,14542
+,10242,17718
+,6696,13132
+,972,15604
+,5066,15970
+,14751,19653
+,4775,644
+,5346,326
+,19749,19687
+,16323,12057
+,16245,15936
+,10635,2857
+,14993,8657
+,19211,7030
+,10734,4436
+,15249,6530
+,2618,4948
+,7215,10211
+,14172,6963
+,18633,14944
+,10257,18594
+,7374,4538
+,717,16299
+,6272,8409
+,12525,13978
+,16968,17553
-,777,0
+,13196,12535
+,15951,18352
+,6531,3468
+,8608,5078
+,13236,11101
+,6911,1282
+,13674,10052
+,18069,388
+,19132,18662
+,3263,8301
+,17244,4891
+,16891,14818
+,13933,11074
+,11645,15280
+,10795,8356
+,5883,16733
+,5121,15291
+,18082,17285
+,9261,19262
+,15934,13284
+,3207,4652
+,9627,4557
+,3017,3687
+,15652,15225
+,15303,5618
+,3693,138
+,12413,10782
+,6727,6919
+,6070,4811
+,16428,7159
+,4941,15939
+,602,15105
+,10457,16253
+,630,13098
-,471,0
+,14150,10575
+,10268,15952
-,616,0
+,14505,5385
+,13185,6462
+,12522,16334
+,16262,12393
+,9978,15085
+,19887,1771
+,16976,17511
+,18878,2124
+,4902,4634
+,7413,18889
+,18929,17314
-,610,0
+,18553,19676
-,861,0
+,5584,4728
+,14580,9804
+,9136,11147
+,4018,8380
+,11476,6804
+,15566,18001
+,2179,1519
+,375,11675
+,3652,10876
+,16453,11862
+,9992,7995
+,15714,286
+,18683,1114
+,6196,8495
-,687,0
+,11599,3962
+,13280,12376
+,16498,5330
+,11181,1453
+,15364,17118
+,8259,16740
+,9195,5575
+,3382,1927
-,139,0
+,5908,11833
+,11672,16168
+,2377,7462
+,1805,15866
+,7965,103
+,16692,2294
+,16924,13772
+,13292,9890
+,715,414
+,11868,12524
+,5514,11127
+,5965,12662
-,914,0
+,18134,945
+,238,8974
+,8466,2678
+,5483,13354
+,269,12197
+,8268,10538
+,11434,17517
+,19536,15363
+,10661,16408
+,18405,13309
+,1812,11968
+,15254,11668
+,15879,15176
+,11693,7546
+,15314,14218
+,556,5431
+,4159,18440
+,8931,7720
+,9998,12682
+,19195,19801
+,8660,12378
+,10079,15943
+,2592,160
+,6891,10507
+,1282,19373
+,15643,6276
+,15864,8358
+,9300,19398
+,4798,13020
+,11133,9526
+,246,19733
+,14771,8622
+,4934,17319
+,19849,19163
+,141,11344
+,12611,11582
+,4315,2353
+,12356,16893
+,18708,14682
+,6919,16145
+,4736,1693
+,306,7491
+,147,19956
+,18551,3485
+,19930,14325
+,3959,289
+,11093,18149
+,19563,16499
+,276,6478
+,12362,2479
+,12074,4240
+,5863,12628
+,14765,19390
+,16188,14364
+,12677,18342
+,373,13553
+,15472,11958
+,9642,15967
-,162,0
+,11143,14917
+,19648,14609
+,10417,11422
+,19951,17364
+,1147,8551
+,2059,9120
+,12192,13729
+,409,16905
+,12986,1622
+,3364,15510
+,18503,4339
+,4257,9898
+,1588,5193
+,12415,5574
+,17242,12073
+,15030,11220
+,2207,19625
+,1281,3910
+,11955,10825
+,14715,7089
+,19990,14190
+,251,14495
+,741,11019
+,15330,18659
+,14932,8484
+,456,16590
+,8621,11517
+,2878,17497
+,11618,11423
+,15764,18225
-,740,0
+,13397,10083
+,13146,17814
+,6988,19928
+,4509,7640
+,3859,18133
+,184,8815
+,18973,19284
+,10790,13905
+,19858,8977
+,6265,10023
+,19296,6613
+,15976,12572
+,3037,4179
+,5643,11423
+,9716,10099
+,4207,19040
-,149,0
+,12629,16652
-,213,0
+,10665,18918
+,17868,6223
+,12953,19600
+,5329,12091
+,11686,9741
+,16061,4662
+,16219,19385
+,19396,17497
+,17657,18121
+,5221,14864
+,6682,18762
+,18872,7570
+,13283,10121
+,10145,4391
+,120,8206
+,4363,7717
+,14942,2339
+,6798,8825
+,680,8328
+,16233,14139
+,240,13162
+,2731,16895
+,2301,8361
+,921,13983
+,15897,17564
+,6332,15961
+,14021,17640
+,15775,12493
-,256,0
+,19241,14499
+,6627,12581
+,10502,6402
+,15263,385
+,18209,9320
+,18632,13962
+,12364,18473
+,4919,12947
+,13249,15115
+,5455,2959
-,115,0
+,6591,4033
+,16487,5767
+,9375,16179
+,7819,5175
+,14969,7205
+,16701,12297
+,16772,3652
+,14337,7857
+,13471,15037
+,14157,4606
+,106,12634
+,18030,1484
+,18741,19064
+,14986,9641
+,10237,7699
+,16056,18559
+,280,8799
+,16381,15797
+,7207,2227
+,4809,7908
+,11218,17447
+,8274,4218
+,9177,10894
+,2526,14611
+,16849,8378
+,2478,14544
+,12552,9304
+,11314,11331
+,19099,6395
+,7297,11775
+,14482,1582
+,9256,6087
+,14455,5348
+,15111,3468
+,4981,147
+,18602,14960
+,4579,5902
+,15483,14329
+,19261,4582
+,15297,13712
+,41,14183
-,427,0
+,1807,18237
+,17251,5452
+,11663,9270
+,13093,5521
+,13010,18088
+,11044,7542
+,11807,9960
+,1167,1284
+,4036,19972
+,4105,7522
+,7065,1549
+,8858,1619
+,10334,19676
+,4153,14844
+,3607,8360
+,10633,8724
+,14671,1299
+,17182,18100
+,1000,646
+,4725,12403
+,18063,9336
+,6742,7884
+,11025,4846
+,13755,17362
+,5776,502
+,15955,1412
+,1781,18952
+,13242,7754
+,9967,10894
+,15273,8578
+,19319,17355
+,15,12986
+,16879,2621
+,14476,15627
+,7063,13774
+,3169,12105
+,18103,1832
+,14395,2586
+,54,13656
+,14958,17982
+,11606,12823
+,13429,8191
+,5129,7196
+,4266,3835
+,17508,17914
+,11759,19601
+,12717,12043
+,8534,11503
+,9744,1245
+,8490,7744
+,739,4637
+,2368,326
+,1168,13941
+,9918,14407
+,17879,6973
+,14259,15393
+,5893,7236
-,39,0
+,7905,16928
+,15548,2344
-,271,0
+,7942,16025
+,170,9795
+,15795,9909
+,17867,3878
+,15081,10210
+,16687,6984
+,19950,7102
+,18379,11550
+,15360,4259
+,7580,14362
+,5562,19133
+,16359,15920
+,10291,17069
+,2970,13233
+,14036,9659
+,6,443
+,14377,9229
+,11351,18940
+,15619,8137
+,6389,9597
+,12261,16449
+,9599,12675
+,3206,1919
+,5713,462
+,3221,3911
+,4054,19304
+,19482,11888
+,17065,6759
+,7879,17519
+,6391,14216
+,17261,6517
+,9089,17379
+,3716,9527
+,5107,16302
+,2479,17758
+,5375,10171
+,14488,15195
+,14977,5552
+,4895,8572
+,3338,3328
+,19993,15607
+,3769,9976
+,14378,13838
+,16933,14887
+,18584,4459
+,3846,12412
+,15861,14027
+,8421,13233
-,540,0
+,16463,10078
+,10517,9905
+,1720,17729
+,9289,19803
+,3307,13666
+,6895,4383
+,12878,5205
+,4560,78
+,5577,8589
+,4957,7695
+,15170,10054
+,10626,11886
+,2910,8008
+,18914,18945
+,16479,12290
+,19090,14673
+,6555,10022
+,2967,8275
-,952,0
+,5872,736
+,10002,13464
+,12836,19853
+,11135,12564
+,16112,5964
+,16524,17662
+,13342,7381
+,8526,19146
+,7277,4665
+,14650,4443
+,9913,16299
+,14848,17303
+,6243,1970
+,11990,108
+,15874,5573
+,1404,2277
+,13517,19074
+,3638,15632
+,7922,3793
+,5005,8830
+,122,19853
+,13037,19420
+,10188,10360
+,594,4103
+,18956,19155
+,16330,16163
+,3699,457
+,7701,9895
+,3773,13062
+,8107,2888
+,14357,9796
+,17121,2963
+,3990,8856
+,4734,2786
+,3436,17204
+,13322,3540
+,1138,15285
-,645,0
+,568,7923
+,1375,18315
+,2369,19022
+,12329,12115
+,14252,5931
+,5689,18318
+,17003,17630
+,1284,19040
+,9575,18911
+,7903,9498
+,8213,8619
+,11901,2963
+,15074,16442
+,4332,17054
+,16315,7583
+,3120,17549
+,6383,19359
+,11657,7985
+,18765,5792
+,13374,14768
+,10581,4892
+,16632,9090
+,18881,1934
+,12207,8987
+,16097,15375
+,2258,11049
+,10636,456
+,18118,9034
+,14996,8561
+,11070,5419
+,3409,11075
+,18113,18931
+,17376,9315
+,2362,17471
+,18419,13555
+,10922,14497
+,1743,3159
+,3675,13595
+,5739,13747
+,19801,13413
+,660,9031
+,213,4525
+,3511,4107
+,11530,8252
+,4267,9120
+,6006,12619
+,15017,5715
+,10077,17945
+,17989,2715
+,1112,11844
-,524,0
+,10066,12624
+,1997,7688
+,5953,2545
+,7860,6601
+,18891,6140
+,2204,11849
+,18492,9394
+,17647,12288
+,19965,9873
+,10777,8682
+,12778,17663
+,7778,19434
+,925,18202
+,5273,16109
+,9823,5107
+,4757,12170
-,294,0
+,1925,19802
+,15649,12003
+,7828,3388
+,9510,887
+,2125,8411
+,16767,9176
+,5707,2806
+,16467,756
+,15661,2000
+,2069,7791
+,1374,17702
+,9507,6398
+,18821,807
+,12596,5113
+,6144,3345
+,14054,6899
-,988,0
+,4920,4276
+,182,15145
+,8606,19415
+,11224,7809
+,9670,4947
+,19962,5528
+,12595,3278
+,3275,8874
+,1239,17822
+,11835,14021
+,14548,6536
+,11012,2526
+,7875,4339
+,10650,7279
+,2659,19248
+,8305,4807
+,12145,18547
+,1409,3053
+,15282,17709
+,10588,9124
+,13976,17988
+,9086,12617
+,4236,8236
+,11958,13297
+,19778,19660
+,18238,12520
+,17862,1743
+,14283,15737
+,17008,12403
+,3579,14522
+,508,19372
+,7472,9124
+,1695,5989
+,9308,11006
+,11173,12321
+,7806,12439
+,6775,13257
+,9560,15735
+,18286,5595
+,3759,17458
+,14218,19395
+,3475,16317
+,4438,5912
+,6081,18799
+,17530,2305
+,19995,1016
+,8676,14939
+,14757,6441
+,15258,4586
+,3908,1188
+,8436,2207
+,16724,16186
+,11680,1075
+,3496,19455
+,7726,7353
+,3876,16048
+,3154,15825
+,14241,17147
+,9890,1196
+,5523,9788
+,14082,19958
+,8802,13336
+,5913,176
+,9297,6404
+,902,13638
+,16150,1485
+,1929,6751
+,10962,3787
+,8145,16475
+,8504,19299
+,14638,13179
+,15201,4333
+,19898,13789
+,605,7193
+,5972,1079
+,9301,6049
+,13147,6637
+,17294,8073
+,11957,12586
+,7533,12258
+,3334,15330
+,4461,12964
+,17409,3952
+,12038,11148
+,2039,1951
+,1424,15723
+,3139,753
+,19511,10336
+,11888,19403
+,13286,13681
+,7271,11540
+,8600,16908
+,9994,1086
+,17767,15831
+,19706,9365
+,9041,2496
+,10624,17470
+,5722,6962
+,3987,15197
+,11058,7072
+,17930,747
+,12509,16115
+,16256,8324
+,3558,8912
+,2887,17424
+,6118,11065
+,353,12139
+,16759,18404
+,6063,7908
+,11607,12999
+,18598,7586
+,4639,7879
+,6033,8821
+,10698,4764
+,17246,19233
+,19938,17627
+,2979,2090
+,14611,13831
+,17173,11112
+,17616,6426
+,4745,1066
+,3647,2969
+,7939,7052
+,9714,15288
+,12772,8635
+,2353,10434
+,11442,10038
+,13455,12564
+,1616,7402
+,5257,10810
+,10507,5154
+,7056,8120
+,3224,3781
+,4064,14053
+,5766,13964
+,15401,9926
+,6685,14116
+,1906,15120
+,10347,7435
+,4422,5977
+,11870,13559
+,16308,12469
+,3341,10411
+,12378,18204
-,562,0
+,2985,13707
+,14892,8000
+,12624,6275
+,6212,9809
+,16634,2867
+,18171,3869
+,1236,3334
+,3965,3871
+,2230,6932
+,19882,15645
+,14115,5602
+,4183,15296
+,13251,3138
+,5480,6007
+,6706,2305
+,1223,9915
+,1893,1070
+,14496,8070
-,963,0
-,577,0
+,2754,9074
+,19702,11079
+,15533,10554
+,2336,18085
+,1850,19679
+,10427,7206
+,1546,12831
+,18944,19496
+,8267,14112
+,998,12421
+,7293,3511
+,13971,4541
+,19061,7821
+,12540,5903
+,5762,19020
+,671,17213
+,14489,15385
+,3897,6833
-,803,0
+,4112,13108
+,11991,19820
+,13526,18328
+,14535,15900
-,867,0
+,6885,16557
+,9188,2549
+,18202,7547
+,18024,8906
+,4340,10672
+,13088,779
+,6684,5984
+,4780,10203
+,15089,13509
+,7889,4828
-,234,0
+,18157,15895
+,18381,6563
+,7509,14053
+,13695,876
+,14443,4671
+,16001,16994
+,16193,5768
+,7301,14288
+,10996,12772
+,14041,16716
+,5288,13626
+,2548,271
+,4768,6500
+,1141,11413
+,15605,4474
+,2208,2101
+,9638,14128
+,3105,16841
+,3270,3284
+,12749,1494
+,10555,372
+,10798,4883
+,17236,4110
+,11994,412
+,3834,10817
+,18295,2370
+,2780,17866
+,7627,14554
+,11532,9933
+,9127,12582
+,15568,7139
+,13413,19074
+,10317,3368
+,1991,3628
+,18843,8787
+,9662,6531
+,15016,2878
+,10695,4364
+,15559,13977
+,3690,14727
+,14998,14327
+,10465,18262
+,7858,6620
+,5807,17465
+,13801,2503
+,3148,7199
+,2078,16935
+,25,14973
-,316,0
+,2740,13096
-,16,0
+,17374,12485
-,863,0
+,7281,10165
-,626,0
+,17962,12324
+,11902,12315
-,164,0
+,2463,17052
-,583,0
+,13027,10773
+,3936,10055
+,11488,5076
+,2898,11001
+,10898,11996
-,115,0
+,8717,5839
+,5775,17629
+,6857,8702
+,9347,10490
+,10448,5058
+,471,7621
+,7259,8689
+,12483,17353
+,8291,4009
+,1459,18204
+,2141,16992
+,14509,9499
+,14346,19223
+,10044,9292
+,5949,14749
+,15513,9753
+,12794,16033
+,5271,5052
+,666,7644
+,15104,14928
+,15315,4084
+,2006,9851
+,11985,267
+,933,7058
+,13400,7204
+,13765,19061
+,16172,18603
+,1035,3122
+,8743,6152
+,3825,5673
+,12012,6536
+,19226,2844
+,14072,14356
+,18533,8164
+,7834,12231
+,6254,1150
+,5488,18695
+,8048,13839
+,16013,7426
+,8952,16676
+,12151,6940
+,1075,11819
+,1302,16984
+,2201,15405
+,11912,2491
+,3917,13539
+,6441,18501
+,404,3794
+,6295,12412
+,18938,17316
+,14437,16345
+,2285,2556
+,12212,11424
+,436,942
+,15953,1610
+,4864,261
+,9343,13627
-,639,0
+,12380,13167
+,1055,8220
+,1536,18347
+,17233,19641
+,6172,424
+,19783,10807
+,4669,15863
+,18394,14289
+,6039,3557
+,7145,17655
+,383,8281
-,147,0
+,10628,3740
+,5578,12520
+,4716,18201
+,8712,1742
+,3398,5607
+,19575,16391
+,8843,2703
+,17543,12023
+,17344,18942
+,9218,37
+,8865,9144
+,5570,14682
+,4727,15557
+,5961,4828
+,7656,782
+,1885,7380
+,14375,16662
+,9204,4287
+,12816,4121
+,19362,12490
+,16774,5534
+,1800,10552
+,10404,403
+,17853,11698
+,15727,15485
+,10384,19191
+,18980,10996
+,17700,10014
+,10441,4136
+,17924,12928
+,3683,19234
+,13730,12876
+,8261,11718
+,13943,4917
+,4063,18915
+,14212,3826
+,19010,3894
+,15403,14960
+,5897,9975
+,15710,11939
+,6485,18223
-,59,0
+,7140,19781
+,3234,2189
+,8879,6731
+,16104,3601
+,7313,6553
+,15471,9325
+,5492,18979
+,12309,15748
+,10490,11966
-,690,0
+,6778,4187
+,1314,77
+,7921,13382
+,8895,5606
+,19216,18355
+,7717,6617
+,11240,444
+,9243,15989
+,16424,17933
+,4248,6494
+,17645,12103
+,10928,10165
+,7987,5435
+,10720,6681
+,12872,11724
+,11117,4010
+,14406,12557
+,7310,5998
+,12725,6809
-,92,0
+,13804,787
+,1353,3245
+,16605,3539
+,14313,3117
+,483,4356
+,16808,19598
+,16922,11681
+,3598,11809
+,15606,1303
+,18321,8777
+,12411,6766
+,591,15572
+,769,10917
+,17600,18351
