OP,A1,A2,A3,A4 
+,2027,6319,9830,81
+,3009,834,956,9456
+,6846,2101,155,7446
+,4982,4397,8264,359
+,8918,7337,74,1324
+,3740,9103,5308,633
+,3461,8118,6050,9975
+,4642,4182,6001,6163
+,696,6543,5950,782
+,7812,3678,5776,7992
+,1478,1476,3,6081
+,454,7777,9473,1279
+,6934,9960,4988,9556
+,8220,7721,1391,8000
+,3932,4080,7727,658
+,930,8468,2767,1140
-,138,0,0,0
+,492,8017,256,5418
+,6381,6118,5701,1658
+,4243,4402,1100,4708
+,9544,4691,9023,3755
+,2867,2814,7457,7696
+,7265,6140,769,1759
+,9233,3251,9447,6348
+,6258,5774,4979,4045
+,5357,7371,3270,6688
+,8463,1284,1570,9063
+,9060,7587,4423,2319
+,7117,3423,3191,8722
+,1169,2126,3893,542
+,1815,6623,6907,4031
+,4416,9621,9335,3775
+,2567,1991,1770,1375
+,3730,7053,8544,3045
+,4573,7800,5842,5934
+,3852,6076,210,2731
+,2912,2671,9254,2007
+,7971,1001,4579,3633
+,6689,1262,7161,3094
+,129,6593,8199,6888
+,9004,7249,4008,2316
+,6724,4830,685,7481
+,8515,749,865,1301
+,493,1346,1655,2866
-,659,0,0,0
-,105,0,0,0
+,6797,6182,3987,3501
+,6348,934,5181,6408
+,3896,5751,1088,6915
+,5873,7912,5063,5325
-,476,0,0,0
-,382,0,0,0
+,1801,9569,5457,5173
+,8234,7813,2557,5145
+,258,9302,3952,6558
+,9428,9303,281,3078
+,8400,4537,2807,4623
+,3458,9639,7122,7897
+,6708,4065,5347,1915
+,4332,4753,3384,970
+,9909,4909,1041,8646
+,9648,3295,439,6355
+,1638,9281,4319,8424
+,5017,2558,345,9734
+,3354,1566,1522,8216
+,1736,4824,8193,4768
+,6548,9893,5024,4682
+,4553,7585,1580,6974
+,638,7820,9463,888
-,144,0,0,0
-,584,0,0,0
+,6027,1703,2908,3266
+,1093,4373,5403,3127
+,6273,3827,9639,9759
+,8001,3221,6052,4035
+,8233,6790,2011,1428
+,5640,1944,8064,3801
+,6866,8205,2205,240
+,9566,6979,5729,5375
+,6306,1509,5197,105
+,2961,3422,1243,3003
+,1451,4369,6344,4277
+,2708,4225,6146,556
+,8531,4057,4830,4240
+,991,1283,8360,6677
+,806,4573,8537,7735
+,203,3690,1900,4947
+,7442,2880,8644,2828
-,91,0,0,0
+,1443,9719,7689,2195
+,7141,3023,3733,6102
+,1236,1617,1546,8324
+,5624,4160,5898,2846
+,2298,9210,6251,7825
+,8944,1903,2917,871
-,355,0,0,0
+,1497,5412,2962,2098
+,7712,7970,7828,3928
+,318,6022,3713,8386
+,9237,9243,2434,6167
+,6668,9207,2019,6720
+,4687,3039,702,8402
+,6133,7885,550,5502
+,5466,6439,7073,8796
+,9465,1955,8657,7158
+,4129,1332,6668,6560
+,4405,8334,7003,4451
+,511,2242,1814,8410
+,4177,6517,5979,5389
+,6106,8461,2863,6829
+,3156,124,2773,5397
+,3173,5752,8205,3777
+,2371,3862,7059,2124
+,8018,7229,2465,3232
+,4765,5867,5812,1557
+,7071,3123,9944,642
+,2168,7704,9846,9384
+,2287,7746,3800,9238
+,4747,9263,9263,4431
+,2132,7952,8888,2242
+,1819,2402,6357,9964
+,2542,4144,5525,1969
+,5038,5413,4707,1815
+,5945,8278,5996,3652
+,4892,3757,5121,7762
+,9773,5044,3137,28
+,7600,6522,7601,3976
+,2005,7468,2847,3910
+,1379,3888,8025,2922
+,3358,6371,4306,1243
+,8882,7421,7008,4303
+,5032,8988,6964,2143
+,9867,1801,282,5892
+,2121,5707,3104,3459
+,3149,3844,7443,6694
+,8251,4562,4250,9317
+,4607,6779,592,5520
+,9061,8896,2122,4500
+,5601,5196,6461,6201
+,2964,718,2127,4568
+,4659,1539,9355,8540
+,640,9730,7463,4080
-,248,0,0,0
+,9322,2992,1205,3253
+,2410,2845,4295,8214
+,4356,1140,9010,4528
+,2974,5113,2588,33
+,8081,4069,7505,1445
-,365,0,0,0
+,7440,612,8768,1121
+,3344,9093,2244,8279
+,4021,8624,4615,3752
+,2628,9748,6918,9889
+,8853,2881,5776,6308
+,4927,9682,7452,9077
+,1968,2425,7428,9910
+,5560,8037,970,2317
+,4532,4876,6518,985
+,2474,7961,4770,8942
+,3329,9010,2270,8624
+,1121,842,3125,7327
+,7808,3820,8530,8471
+,4253,3681,7697,6594
+,4586,8914,2074,6112
+,2177,8485,3426,1574
+,6581,3854,1950,9768
+,616,4509,9471,6294
+,2069,4004,4394,2165
-,427,0,0,0
+,2072,6379,4026,7697
+,3391,7709,8940,8511
+,5944,7172,3396,6806
+,5267,7061,1099,2034
-,180,0,0,0
+,4444,5569,7891,4640
+,5185,6840,6861,2498
-,660,0,0,0
+,6702,2528,748,746
+,471,6436,4926,6624
+,1902,9435,798,1714
+,2338,5400,6862,4579
+,5702,5733,3360,1975
+,5821,8083,1839,8723
+,2659,507,5087,2356
+,1926,8898,2535,7133
+,2335,6732,8007,114
+,9198,2032,3109,6793
-,831,0,0,0
+,2673,7054,2631,6892
+,595,5583,7653,3895
+,563,9204,8789,3013
+,5110,4793,9239,3185
+,5056,1214,2361,1228
-,839,0,0,0
-,441,0,0,0
-,674,0,0,0
+,5812,6046,3468,4865
+,2586,2700,7633,8888
+,6169,5673,2909,3072
+,1974,215,9500,3385
+,4753,3443,7825,8502
+,855,4722,1773,4450
+,7318,800,5066,6883
+,7958,5374,6345,2885
-,523,0,0,0
+,3382,2155,8040,1351
+,6524,7281,4854,4686
+,5136,9973,6252,5271
+,3830,7350,1730,4969
+,4047,7773,9278,7427
+,2127,8314,8969,3747
+,8243,2130,317,7913
+,668,543,1643,3939
+,1943,2940,4936,1353
+,5392,6333,7375,5025
+,5247,2559,6076,1408
+,2825,4796,1387,5500
+,7109,4180,8588,8931
+,9280,7206,2751,5066
+,1113,2338,2224,506
+,789,4353,9761,8986
+,2144,1187,6942,7653
+,5514,4429,5289,2008
+,3647,1511,1701,3069
+,7222,7558,5443,1727
+,9317,8400,4202,7912
+,288,2500,2339,4473
+,4923,449,1789,6950
-,495,0,0,0
+,4948,9751,7542,2270
+,7559,2186,1015,4817
+,2403,688,1163,4202
+,3256,2104,4803,2254
+,9480,4581,8636,1970
+,2304,3678,6416,7161
+,2211,6204,992,594
+,9270,691,2130,1158
+,3367,2362,8393,10
+,5472,5168,7343,5699
+,4930,8419,5811,8071
+,6327,9330,6387,9137
+,4220,4555,1567,9206
+,4086,4932,6704,8422
-,44,0,0,0
+,5985,2289,7013,2788
-,986,0,0,0
+,8125,1872,5581,3099
-,459,0,0,0
+,2669,1700,2478,4115
+,4525,2712,447,8327
+,1505,2124,7393,8919
+,3768,9881,7609,7087
+,5422,8315,5993,4613
-,469,0,0,0
+,1457,8385,4599,5055
+,9017,6089,5995,3463
+,5955,5680,5566,4747
+,7992,9346,5021,5674
+,9578,387,955,2606
+,7973,6311,8013,9753
+,3591,5339,5967,9416
+,6905,2438,2737,3186
+,5468,201,232,4914
+,1989,5363,2854,7636
+,3418,766,4724,4423
+,6988,661,8984,834
-,93,0,0,0
+,8833,5230,8882,2544
+,4390,2900,9766,2630
+,7706,1827,8609,5647
+,9216,2270,7147,8795
+,8496,8787,6991,5252
+,4316,798,2194,5223
+,4203,2316,6138,1021
+,5542,341,5928,4285
+,6913,2423,3630,694
-,873,0,0,0
+,6470,681,649,3368
+,5585,6146,1185,6482
+,7482,8626,6902,6911
+,5581,5496,3190,301
-,556,0,0,0
+,5583,1612,4067,421
+,7596,3430,1812,5811
+,4147,6152,6954,5189
+,6422,3379,577,847
+,712,2794,1296,1054
+,6039,2332,2392,7701
+,5721,9863,7988,984
+,4941,3629,7141,2433
+,459,3016,2175,1180
-,298,0,0,0
+,7864,5862,7716,4080
+,4708,7342,7501,7621
+,3390,6200,1217,5213
+,3298,985,2905,5810
+,2545,596,3048,2628
+,5164,6193,7374,2721
+,9226,465,2899,329
+,3380,5854,6479,2363
-,853,0,0,0
+,9063,2362,3272,5655
+,2101,189,6327,6980
+,1427,233,4055,1798
+,3039,839,3440,2161
+,1419,9584,3347,6371
+,4008,3022,9052,1111
+,157,9167,3835,1397
+,9072,6845,9595,4980
+,3936,1274,5165,4685
+,8601,4187,8303,7915
+,1818,4666,7457,3955
+,7100,6558,2132,1548
+,6454,8155,9767,8179
+,8783,3392,2280,3810
+,8416,4551,7555,9408
+,9255,6937,3554,1854
+,3440,9956,4792,5757
+,8016,1411,2915,9396
+,4592,8299,1692,3093
+,5533,7253,9306,7802
+,8010,3317,2389,1734
+,5135,749,7742,4714
+,7324,5105,7754,8948
+,5425,7813,9249,9415
+,7236,276,2747,967
+,467,7741,9801,2466
-,14,0,0,0
+,5967,4731,9775,7747
+,6196,5804,7579,4456
+,506,4366,1232,9626
+,5977,5907,1676,3901
+,1876,852,5033,4298
+,8725,1772,152,5009
+,8011,2970,4038,5888
+,352,2827,5598,8354
-,697,0,0,0
+,3519,1398,896,998
-,654,0,0,0
+,1209,4011,4120,2139
+,731,9865,9702,7723
+,6377,300,8897,1070
+,4321,8878,7937,2362
+,5686,3130,4480,3679
+,4336,4595,4171,371
+,6482,8400,4821,5480
+,9960,5254,829,5973
+,6505,9022,9993,2621
+,6701,6244,2128,3653
+,2943,401,2325,9693
+,964,7804,7403,7646
+,7010,303,7829,8136
+,3663,1827,6477,7646
+,1993,1406,4697,801
+,5246,1693,1996,5664
+,4794,5490,6773,6872
+,6340,8251,4240,5992
+,5455,4284,3591,743
+,8746,3099,1693,8312
+,3384,9266,9314,8600
-,423,0,0,0
+,1176,5772,8305,4927
+,7964,1897,4004,913
+,2038,106,537,902
-,34,0,0,0
+,3739,6779,4643,713
+,7166,26,7371,2822
+,1053,3037,7723,5883
+,7640,9082,1608,2330
+,3105,7652,4335,6798
+,7359,5931,9625,2608
+,485,3923,9623,1863
-,351,0,0,0
+,4477,6250,9773,2977
+,7539,7808,3924,784
+,9075,4542,8892,9873
+,5271,8713,7944,4118
+,3048,8368,1735,1070
+,9047,9997,4988,7920
+,6971,4317,9365,2530
+,8588,1619,7054,4636
+,8331,6885,6724,9478
+,698,4381,9707,6081
+,6151,5950,994,7046
+,4289,5314,9173,320
+,8898,5042,5182,3048
-,101,0,0,0
+,7895,9261,5289,7625
+,2019,7737,7469,6142
+,7387,4697,5569,8789
+,8039,7321,2308,1122
-,55,0,0,0
+,2376,6969,8774,1366
+,1070,70,8327,9476
-,706,0,0,0
+,9779,4714,8828,766
+,8694,7326,3900,8171
+,9421,3227,7763,3551
+,7240,3047,6193,2839
+,1825,676,3199,3873
+,6296,7451,7402,2376
+,9378,6445,2825,3740
+,4175,2833,1534,8432
+,7760,1714,5280,699
-,428,0,0,0
+,8723,4846,9994,5332
+,2709,5843,4667,6909
+,1072,5022,8652,171
+,8205,2043,8497,6441
+,344,3186,8600,3037
-,840,0,0,0
-,314,0,0,0
+,1938,9784,3391,5704
+,1479,3707,841,7326
+,180,9142,1892,630
+,1211,255,7891,5153
+,2438,4263,8649,5190
+,8371,6138,3249,1149
+,2273,3215,3666,3527
+,2199,5295,3635,1153
+,9776,4281,3723,9229
+,6735,5111,9544,5750
+,3248,8112,379,3375
+,1609,1253,622,1869
+,1785,251,3626,1110
+,1844,1852,6880,2891
+,8252,8970,3692,3814
+,5653,4585,4008,6957
+,5957,2220,7150,6629
-,830,0,0,0
+,545,7875,7327,4297
+,3453,2881,6767,6416
+,3534,1820,6516,7368
+,3168,8647,3240,1505
+,3834,5042,8186,3687
+,1660,6482,461,84
+,5488,2638,3668,9992
+,833,6114,3300,6507
+,3537,3795,3221,7262
+,9077,5259,1725,5283
-,468,0,0,0
-,174,0,0,0
+,4230,3222,2341,6424
+,3760,963,5847,1130
-,11,0,0,0
+,2647,2053,764,5813
+,2340,1464,3992,1486
+,3363,5362,8930,2189
+,2185,7441,8429,6040
+,1602,53,686,2193
+,4705,7196,1631,4323
-,839,0,0,0
+,2711,8645,9370,9580
+,4517,3020,7776,8385
+,1561,8344,3220,6904
-,498,0,0,0
+,4419,3576,2730,1907
+,5517,4701,8419,3949
-,182,0,0,0
+,3521,4409,5881,6507
+,3684,6186,418,4953
+,9873,1295,322,7605
+,9691,7157,8654,8601
+,7336,8737,6244,2228
-,706,0,0,0
+,1831,6319,8512,1329
+,1966,1809,7828,22
+,9108,7136,1400,3859
+,1031,8121,7635,2265
+,5368,6997,9736,5794
+,7337,7391,1378,1962
+,5256,7536,3188,5905
+,2289,6788,3251,5946
-,486,0,0,0
+,7794,8963,8818,4805
+,6544,6844,8704,1671
+,9016,5731,6540,1063
+,3683,805,1786,9329
+,7899,6057,4390,267
-,568,0,0,0
+,2478,5111,7771,564
+,4044,4575,5463,2256
+,3278,6708,8107,3797
+,5586,6391,9839,2131
+,8534,7762,6970,1869
+,8402,9707,4696,3980
+,3640,4771,5480,5046
+,2733,6011,7033,921
+,4630,5700,5388,8972
+,6677,8742,1804,2587
+,630,7429,7190,8781
+,1108,6812,542,3643
+,3858,3096,2436,1694
+,7847,8375,7532,2933
+,8169,4269,8068,976
+,7669,2440,3850,4382
+,8786,8883,7165,9958
+,1707,8781,9062,5066
+,5174,4701,2097,7554
+,532,8738,9469,2521
+,4821,9462,8909,2222
-,169,0,0,0
+,1249,2657,2841,3568
+,6035,7242,6702,2758
+,4672,3975,4057,6488
+,2815,5077,4225,9561
+,6578,3555,1363,1649
+,1091,8502,6155,7814
+,1905,3370,1220,2881
+,4062,3698,7954,1859
+,9929,5748,7763,6852
+,5218,2287,9905,1188
+,4965,3666,150,9405
+,3888,1960,852,9609
+,9112,8688,8015,8203
+,3911,180,2492,5123
+,9243,8526,2253,9601
+,8758,4939,7705,3019
-,294,0,0,0
+,9059,1490,4429,8165
+,5789,5320,6135,6748
+,7009,8166,8393,8856
+,6437,7382,8318,5913
+,5193,6059,3664,8500
-,713,0,0,0
+,904,1449,9070,3099
+,2836,4012,8261,3705
+,4745,6558,6672,9011
+,7744,6354,6078,9774
+,5561,9027,6520,1654
-,582,0,0,0
+,1645,6389,6209,5425
+,5838,4034,4835,8869
+,3273,811,9272,5184
+,2799,3695,9047,693
+,5669,7415,9188,5972
+,4,6658,4296,5366
+,8054,1000,6686,787
+,5609,2171,4011,9506
+,3551,9498,5573,6032
-,884,0,0,0
+,4925,3787,9321,6477
+,3129,5853,4882,9414
+,2911,4042,7043,7438
+,6085,9926,9543,5727
+,5756,1750,6549,5699
+,3904,3540,8423,8096
+,1780,6506,3690,4653
+,6822,4273,5105,8271
+,1676,5839,3305,3247
+,6047,1718,1322,5483
-,501,0,0,0
+,8884,6045,4242,7767
-,562,0,0,0
+,7076,4479,1570,2338
+,8035,2909,6174,1443
-,905,0,0,0
+,6519,1893,459,2316
+,8445,737,9424,5301
-,242,0,0,0
+,2097,185,573,8129
+,7889,5893,6508,7589
+,7832,5922,2330,3851
+,5081,4316,5057,3480
+,7769,6408,5867,2405
+,6084,1843,5782,4196
+,134,1121,503,9067
+,7253,6797,9653,815
+,5552,2911,6510,6017
-,897,0,0,0
+,9653,9670,5938,1940
+,4209,713,145,3462
+,3245,2858,2001,7287
+,6048,3160,9830,4873
+,9557,5844,5513,6657
+,6034,3602,6977,9171
+,1044,8210,3826,9988
+,3958,9053,7094,3663
+,2421,5815,8346,429
+,3953,6660,3920,7646
-,507,0,0,0
+,3327,5171,1855,2584
+,4312,5662,5291,2976
+,7585,4980,3602,4312
+,2423,6015,3102,4311
+,5391,2762,8566,6319
-,388,0,0,0
+,2129,8280,1914,1154
+,3459,2642,3923,2881
+,836,3747,8587,1375
+,299,6209,6310,4695
+,9531,6170,6476,2023
+,3690,911,4779,5492
+,9676,7601,3885,1672
+,4596,8777,680,7254
+,1335,1841,2939,1781
+,9813,6272,6629,2111
+,2243,9926,2136,5725
+,4981,4553,289,2738
-,527,0,0,0
-,590,0,0,0
+,8780,7981,7155,4418
-,803,0,0,0
+,6079,3362,3374,6949
+,1337,456,1109,8778
+,797,8741,2797,9391
+,907,6366,3664,7050
+,7299,6642,4438,279
+,9107,3782,1077,8895
+,1745,7795,1829,6252
+,2434,3946,1057,6349
+,6942,6667,9898,9426
+,3717,9776,3308,9533
+,8697,799,7675,5089
+,7844,8682,3739,623
+,3934,6190,8113,3384
+,6128,5971,3555,4474
+,4871,2547,3477,7952
+,1932,2038,6251,1810
+,6467,7617,6667,3825
+,1944,3655,1871,5712
+,4771,5533,4506,1028
+,6194,2396,3614,6893
-,263,0,0,0
+,7580,779,5320,27
+,5943,7671,2276,6653
+,175,8223,6501,8849
+,3326,8177,1719,5871
+,6076,1260,9147,8191
+,8841,7641,4415,9528
+,6535,8732,6103,5052
+,8721,6361,5753,3286
+,2547,2984,3555,255
+,5582,5245,1021,3258
+,9099,4216,8096,12
+,6845,2187,5315,8736
+,8610,251,1303,5136
+,5325,9574,9218,2537
+,2509,3786,2573,311
+,1955,1404,5897,4406
+,5540,5197,6035,1174
+,4723,3759,5771,5289
+,1849,7539,5805,7076
+,1935,9709,7564,2836
+,8574,2190,4551,5025
+,5768,5874,1076,1700
+,3798,7247,437,1173
+,407,8183,5128,2939
+,2253,8212,5274,5468
+,306,2008,3778,9409
+,2369,8225,1146,5024
+,2419,7136,2466,1909
+,9425,6244,8102,1127
+,9316,3723,5652,9394
+,1626,6832,5081,6716
+,24,1702,6786,1550
+,6165,6587,1596,5659
+,7353,3372,6599,2229
+,9611,3484,602,6160
+,9742,3374,8603,1389
+,9180,6668,7392,3579
+,533,2080,4596,675
+,8201,2655,4202,6880
+,3659,9967,889,5850
+,3898,1246,49,1627
+,3321,4706,7580,1416
+,3677,9515,5613,2671
+,7752,9447,5136,6475
+,5045,8984,4909,2814
+,559,6957,2797,7871
+,3817,7674,7497,6605
+,850,5603,6128,4637
+,1007,2624,859,8209
-,522,0,0,0
+,7966,9278,4872,47
+,2276,2106,3479,6131
+,4992,2246,1093,4637
+,9876,6761,8022,4235
+,7661,9684,8846,948
+,4539,9144,8631,7868
+,667,1864,7764,5553
+,6313,6147,4720,8908
+,9556,8351,753,1820
+,7665,5790,9049,1682
+,434,736,7414,4546
+,9338,8194,3321,3074
+,133,7878,9974,556
+,8448,2402,629,1597
+,2678,7141,6853,7705
+,416,5105,1928,1139
+,7021,7103,4383,7993
+,2948,9516,4231,3509
+,8255,5771,1932,9613
+,3639,1479,7406,5174
+,9685,4227,6734,3263
+,6599,3183,2365,4369
+,5100,7413,1589,4432
+,2383,8541,7346,6798
+,6526,7815,723,4794
+,262,8987,9976,5778
+,2195,9739,1894,1230
+,772,9531,8322,7318
-,967,0,0,0
+,8750,998,8052,9598
+,876,585,2827,7843
+,6714,1098,6807,3306
+,1598,4146,2545,4987
+,3711,3664,2046,7777
+,2985,4894,9048,2810
+,4993,8342,5501,4976
+,9543,3053,229,7938
-,663,0,0,0
+,4656,9046,1608,4443
+,9279,6391,9570,7256
+,3426,4295,934,5783
+,7157,8079,6757,9080
+,324,1684,9002,7356
-,582,0,0,0
+,8883,9308,8182,9671
+,1222,5990,298,9864
+,4064,919,5962,8261
-,906,0,0,0
+,1077,9631,8739,953
+,1269,1001,9866,8099
+,2644,760,3978,1899
+,4513,4991,8151,2145
+,3157,4056,7435,4632
-,489,0,0,0
+,1163,6593,3988,5171
+,9837,3951,9170,7985
+,2579,3008,3253,4476
+,9103,4807,7309,6411
-,73,0,0,0
+,7151,8323,2525,1869
-,398,0,0,0
+,1476,9647,8554,4265
+,3227,8114,4470,1420
+,6328,2542,5735,7321
+,3479,2873,2477,4917
+,9154,3469,3745,4101
+,5298,8698,8533,6524
+,5125,2528,2927,6121
-,668,0,0,0
+,1908,4250,357,7635
+,9104,3805,8263,7168
+,4568,6809,5436,5564
+,9892,6983,254,580
-,709,0,0,0
+,9741,2921,3702,2234
+,3910,9955,7013,226
+,96,7785,1263,8312
+,8974,2684,6125,1654
+,7232,167,8533,7022
+,2465,981,3140,4583
+,997,9952,562,8980
+,818,1907,503,1849
+,7270,9042,3161,9282
+,7977,2302,7633,2803
+,4643,2737,9148,4930
+,8072,6743,2504,4681
+,8455,7086,1676,4322
+,5492,807,7871,2725
-,27,0,0,0
+,5643,1959,3884,5532
+,5228,2020,4498,5586
+,936,2025,9118,1685
+,7168,4852,5080,8097
+,1618,3591,4591,456
+,6738,9704,1808,4082
+,4665,74,8640,9258
-,814,0,0,0
-,267,0,0,0
+,9098,6551,9717,9786
+,8002,8735,8129,5208
-,292,0,0,0
-,295,0,0,0
+,9894,4902,5275,8969
+,3353,6918,2599,2094
+,7711,9099,1069,8420
+,4689,4946,9751,1245
+,8485,9175,8852,7916
+,6553,9484,3965,1257
+,9607,4915,4077,3074
+,3424,6833,7316,836
+,4112,2306,9632,90
+,7090,2653,315,6010
+,9745,4777,1478,6503
+,5098,5943,4012,2927
+,5063,9882,8064,5216
+,9997,538,199,3405
+,1324,7641,4715,472
+,6787,1216,2036,5975
+,9662,3400,8322,5008
+,5892,9816,1382,8353
+,4218,7263,5424,1966
+,9938,7106,1468,9145
+,97,1756,2404,915
+,7875,9556,3482,4135
+,2274,1745,8397,7596
+,256,6524,6686,3298
+,8656,4066,4751,361
+,7263,760,8284,4616
+,3414,4776,3869,1715
+,6247,2946,8967,705
+,4136,4037,5003,376
+,552,6558,9427,3937
+,8398,316,2356,1616
+,3252,6348,8675,6420
+,3089,4144,1525,2450
+,2070,9983,6512,3213
+,7681,196,8259,7064
+,7572,2522,1120,4967
+,7884,1487,5163,9097
+,5954,9465,2761,1754
+,1670,3967,6572,396
-,441,0,0,0
+,7213,6417,8520,4374
+,312,8396,2855,7301
+,4217,8829,1489,1261
+,4307,16,2670,5585
+,6325,4452,6562,3065
+,7237,3328,252,3133
+,8367,2537,1102,7241
+,1305,8052,9979,6731
+,4766,8440,570,3146
+,7709,9808,6248,3587
+,4616,5300,2929,9750
+,1694,2295,7706,7396
+,9606,4775,5231,2659
+,5341,4791,5186,4967
+,1264,7903,2165,9223
+,1474,5732,9010,236
+,8482,3859,120,6043
+,9618,7610,6120,4271
+,9234,6137,1590,8233
+,4234,4514,5282,986
+,2856,8334,7136,9382
+,1173,9364,9323,470
-,66,0,0,0
+,188,987,4186,954
+,8784,8759,28,4341
+,3346,9730,2935,7171
+,3240,5851,6186,8504
+,4901,7862,999,8653
+,9442,936,7134,5659
+,2577,6719,2007,592
+,8980,7900,1806,3382
+,3587,1904,6776,7260
+,4508,1064,1293,9548
+,46,7605,6284,8404
+,6778,9243,8452,314
+,9038,5750,6922,6626
+,7784,8614,3987,5821
+,6622,9733,2592,226
+,386,6504,8149,6837
+,934,7978,982,4350
+,3402,5273,3190,4421
-,400,0,0,0
-,141,0,0,0
+,4587,4900,5793,9720
-,622,0,0,0
+,7505,6610,2705,3206
+,1550,104,131,4044
+,1322,4879,6344,3803
+,4038,3405,4400,6919
+,2811,1034,9040,5545
+,5432,9247,4124,3462
+,918,2128,2139,367
+,1345,854,4490,1377
+,3026,2090,2951,395
+,3017,1481,6561,8759
+,6120,3115,3747,1820
+,5811,5869,9111,1861
+,1101,6128,3592,1545
+,830,5392,9648,8732
-,289,0,0,0
+,1485,1233,6325,788
+,7820,2918,9828,7175
+,4958,4075,6147,3952
+,3787,187,7058,5576
+,4622,6401,8344,8076
-,84,0,0,0
+,5124,3118,7235,204
+,2142,3219,7575,928
+,139,9081,8265,722
-,473,0,0,0
+,4635,2975,7106,1094
+,1194,4401,6227,9702
+,6390,34,2488,3013
+,7247,4620,2284,5712
+,4866,579,932,8403
+,5924,599,3788,8103
+,6891,8154,4381,4148
+,376,1817,3504,1457
+,4742,5341,4079,9481
+,3501,777,7408,8786
-,418,0,0,0
+,5891,1776,9607,3892
+,1930,1080,3533,570
+,3502,6445,8614,9723
+,8634,9421,1416,5866
+,5803,7691,2573,2619
+,6638,171,9239,1524
+,1403,7417,9737,8407
+,825,9970,9638,6615
+,8958,3154,6577,9887
-,44,0,0,0
+,1950,2303,2304,2336
+,125,1586,4181,7842
+,1460,4664,8406,572
+,9489,8362,8802,7902
+,5083,8426,3217,8310
+,606,77,6502,990
+,4012,180,8441,6510
+,5326,7843,4153,9317
+,6663,1746,9049,3159
+,1276,9493,549,6845
+,6676,765,8235,924
+,251,9542,5971,5195
-,366,0,0,0
+,137,8369,5147,6467
+,3991,9527,2137,2277
+,6522,6166,7370,7062
+,6025,4287,6447,2620
+,7468,6338,9386,5451
+,5818,9716,1680,6727
+,534,355,6732,6184
+,5291,2174,3041,189
+,4360,6450,7449,5046
+,3337,9391,1430,1947
+,6124,4087,4878,9802
+,3112,9969,5267,151
